Time (msec),* Battery voltage (V),* Coolant Temperature (°C),* Electric fan (%),* Engine Load (mg/stroke),* Engine Speed (RPM),* Fuel Injector Pulse Width (ms),* Ignition Angle (° CRK),* Intake Air Temperature (°C),* Lambda Integrator - Bank 1 (%),* Lambda Integrator - Bank 2 (%),* Mass Airflow (kg/h),* Oil Temperature (°C),* Vehicle Speed (km/h),** Lambda Additive Adaptation - Bank 1 (ms),** Lambda Additive Adaptation - Bank 2 (ms),** Lambda Multiplicative Adaptation - Bank 1 (%),** Lambda Multiplicative Adaptation - Bank 2 (%)
0,11.4,104.2,0,102.60,785,2.288,0.38,61.5,0.00,0.00,14.50,100.9,0,0.00,0.00,-0.00,0.00
160,11.4,104.2,0,109.23,750,2.488,2.62,61.5,0.00,0.00,14.75,100.9,0,0.00,0.00,-0.00,0.00
322,11.5,102.8,0,108.62,767,2.656,0.75,61.5,0.00,0.00,15.00,100.9,0,0.00,0.00,-0.00,0.00
521,11.5,102.8,0,103.30,793,2.780,-0.38,61.5,0.00,0.00,14.75,100.9,0,0.00,0.00,-0.00,0.00
721,11.5,102.8,0,98.83,829,2.920,-1.12,61.5,0.00,0.00,14.75,100.9,0,0.00,0.00,-0.00,0.00
922,11.5,100.5,0,89.27,871,2.844,-1.88,61.5,0.00,0.00,14.00,100.9,0,0.00,0.00,-0.00,0.00
1120,11.6,100.5,0,82.49,892,2.692,-2.25,61.5,0.00,0.00,13.25,100.9,0,0.00,0.00,-0.00,0.00
1320,11.6,99.0,0,80.84,876,2.552,-1.88,61.5,0.00,0.00,12.75,100.9,0,0.00,0.00,-0.00,0.00
1481,11.6,99.0,0,82.37,843,2.472,-1.50,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
1640,11.6,99.0,0,86.14,806,2.448,-0.75,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
1802,11.5,99.0,0,90.52,767,2.432,1.12,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
2000,11.6,98.2,0,92.58,750,2.508,2.62,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
2160,11.6,98.2,0,95.57,741,2.572,2.62,61.5,0.00,0.00,12.75,100.9,0,0.00,0.00,-0.00,0.00
2360,11.6,96.8,0,92.45,751,2.628,1.88,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
2561,11.7,96.8,0,92.32,752,2.640,2.25,61.5,0.00,0.00,12.50,100.9,0,0.00,0.00,-0.00,0.00
2760,11.6,96.8,0,92.81,748,2.664,1.50,61.5,0.00,0.00,12.50,102.5,0,0.00,0.00,-0.00,0.00
2960,11.7,96.0,0,92.58,750,2.676,0.75,61.5,0.00,0.00,12.50,102.5,0,0.00,0.00,-0.00,0.00
3122,11.7,96.0,0,96.48,734,2.668,1.50,61.5,0.00,0.00,12.75,102.5,0,0.00,0.00,-0.00,0.00
3319,11.2,94.5,0,101.22,727,2.760,2.62,61.5,0.00,0.00,13.25,102.5,0,0.00,0.00,-0.00,0.00
3480,11.6,94.5,0,104.04,734,2.832,1.12,61.5,0.00,0.00,13.75,102.5,0,0.00,0.00,-0.00,0.00
3640,11.6,94.5,0,107.98,733,2.904,0.38,61.5,0.00,0.00,14.25,102.5,0,0.00,0.00,-0.00,0.00
3801,11.6,94.5,0,111.08,725,3.012,1.50,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
3961,11.6,93.0,0,109.13,738,3.072,-0.38,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
4122,11.6,93.0,0,108.11,745,3.096,-1.12,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
4320,11.7,92.2,0,108.39,743,3.116,-1.12,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
4483,11.6,92.2,0,111.01,738,3.156,-0.38,61.5,0.00,0.00,14.75,102.5,0,0.00,0.00,-0.00,0.00
4680,11.7,92.2,0,110.17,731,3.152,0.75,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
4840,11.7,91.5,0,109.57,735,3.164,0.38,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
5002,11.7,91.5,0,108.98,739,3.196,-0.38,61.5,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
5200,11.7,91.5,0,113.01,725,3.192,1.50,61.5,0.00,0.00,14.75,102.5,0,0.00,0.00,-0.00,0.00
5361,11.8,90.8,0,116.71,702,3.248,2.62,62.2,0.00,0.00,14.75,102.5,0,0.00,0.00,-0.00,0.00
5521,11.7,90.8,0,133.09,699,3.256,1.50,62.2,0.00,0.00,16.75,102.5,0,0.00,0.00,-0.00,0.00
5682,11.8,90.8,0,180.58,669,4.036,1.50,62.2,0.00,0.00,21.75,102.5,0,0.00,0.00,-0.00,0.00
5840,11.8,90.8,0,273.67,685,5.436,0.00,61.5,0.00,0.00,33.75,102.5,0,0.00,0.00,-0.00,0.00
6001,11.9,90.8,0,248.30,755,6.720,0.00,61.5,0.00,0.00,33.75,102.5,0,0.00,0.00,-0.00,0.00
6201,12.0,90.8,0,153.10,1034,6.008,9.00,61.5,0.00,0.00,28.50,102.5,0,0.00,0.00,-0.00,0.00
6402,12.2,90.8,0,127.61,1284,5.108,7.88,62.2,0.00,0.00,29.50,102.5,0,0.00,0.00,-0.00,0.00
6601,12.2,90.8,0,119.05,1388,4.540,14.25,62.2,0.00,0.00,29.75,102.5,0,0.00,0.00,-0.00,0.00
6760,12.2,90.8,0,128.14,1398,4.152,18.75,62.2,0.00,0.00,32.25,102.5,0,0.00,0.00,-0.00,0.00
6920,12.2,90.0,0,144.71,1353,4.120,17.62,62.2,0.00,0.00,35.25,102.5,0,0.00,0.00,-0.00,0.00
7081,12.2,90.0,0,154.18,1297,4.220,17.25,62.2,0.00,0.00,36.00,102.5,0,0.00,0.00,-0.00,0.00
7281,12.2,90.0,0,166.00,1238,4.480,15.75,62.2,0.00,0.00,37.00,102.5,0,0.00,0.00,-0.00,0.00
7480,12.3,90.0,0,173.72,1223,4.788,15.38,62.2,0.00,0.00,38.25,102.5,0,0.00,0.00,-0.00,0.00
7641,12.3,90.0,0,191.83,1245,5.068,16.12,62.2,0.00,0.00,43.00,102.5,0,0.00,0.00,-0.00,0.00
7841,12.4,90.8,0,208.23,1307,5.648,15.75,62.2,0.00,0.00,49.00,102.5,0,0.00,0.00,-0.00,0.00
8041,12.4,90.8,0,204.63,1364,6.008,14.62,62.2,0.00,0.00,50.25,102.5,0,0.00,0.00,-0.00,0.00
8200,12.4,90.8,0,206.67,1364,6.068,14.62,62.2,0.00,0.00,50.75,102.5,0,0.00,0.00,-0.00,0.00
8361,12.4,90.8,0,211.03,1349,6.152,13.88,62.2,0.00,0.00,51.25,102.5,0,0.00,0.00,-0.00,0.00
8522,12.4,90.8,0,210.88,1317,6.192,13.50,62.2,0.00,0.00,50.00,102.5,0,0.00,0.00,-0.00,0.00
8721,12.5,90.8,0,219.38,1266,6.308,13.12,62.2,0.00,0.00,50.00,102.5,0,0.00,0.00,-0.00,0.00
8881,12.6,91.5,0,221.97,1245,6.444,12.38,62.2,0.00,0.00,49.75,102.5,0,0.00,0.00,-0.00,0.00
9041,12.6,91.5,0,221.65,1228,6.544,11.25,62.2,0.00,0.00,49.00,102.5,0,0.00,0.00,-0.00,0.00
9242,12.6,91.5,0,219.44,1215,6.596,11.25,62.2,0.00,0.00,48.00,102.5,0,0.00,0.00,-0.00,0.00
9440,12.7,92.2,0,205.42,1210,6.356,11.62,62.2,0.00,0.00,44.75,102.5,0,0.00,0.00,-0.00,0.00
9600,12.8,92.2,0,133.31,1198,5.512,12.75,62.2,0.00,0.00,28.75,102.5,0,0.00,0.00,-0.00,0.00
9761,12.8,92.2,0,70.69,1198,4.032,7.88,62.2,0.00,0.00,15.25,102.5,4,0.00,0.00,-0.00,0.00
9962,13.0,92.2,0,59.27,1265,3.212,6.00,62.2,0.00,0.00,13.50,102.5,4,0.00,0.00,-0.00,0.00
10161,13.0,92.2,0,59.48,1237,2.768,4.12,62.2,0.00,0.00,13.25,102.5,4,0.00,0.00,-0.00,0.00
10320,13.0,93.8,0,63.44,1160,2.584,2.25,62.2,0.00,0.00,13.25,102.5,4,0.00,0.00,-0.00,0.00
10481,13.0,93.8,0,71.13,1054,2.480,5.25,62.2,0.00,0.00,13.50,102.5,4,0.00,0.00,-0.00,0.00
10681,12.8,93.8,0,82.49,909,2.352,4.88,62.2,0.00,0.00,13.50,102.5,4,0.00,0.00,-0.00,0.00
10883,12.7,93.8,0,96.50,777,2.296,4.88,62.2,0.00,0.00,13.50,102.5,5,0.00,0.00,-0.00,0.00
11081,12.4,93.8,0,112.35,655,2.476,10.88,62.2,0.00,0.00,13.25,102.5,5,0.00,0.00,-0.00,0.00
11241,12.3,93.8,0,174.46,589,3.028,13.88,62.2,0.00,0.00,18.50,102.5,5,0.00,0.00,-0.00,0.00
11440,12.3,94.5,0,328.19,567,5.236,12.00,62.2,0.00,0.00,33.50,102.5,5,0.00,0.00,-0.00,0.00
11601,12.4,94.5,0,163.14,698,6.000,6.00,62.2,0.00,0.00,20.50,102.5,5,0.00,0.00,-0.00,0.00
11761,12.6,94.5,0,96.10,838,4.396,-3.00,62.2,0.00,0.00,14.50,102.5,3,0.00,0.00,-0.00,0.00
11960,12.8,95.2,0,79.17,912,3.884,-3.38,62.2,0.00,0.00,13.00,102.5,3,0.00,0.00,-0.00,0.00
12121,12.9,95.2,0,73.87,921,3.512,-3.38,62.2,0.00,0.00,12.25,102.5,3,0.00,0.00,-0.00,0.00
12281,13.0,95.2,0,76.37,891,3.192,-2.62,62.2,0.00,0.00,12.25,102.5,3,0.00,0.00,-0.00,0.00
12442,13.0,96.0,0,79.40,857,2.936,-1.50,62.2,0.00,0.00,12.25,102.5,3,0.00,0.00,-0.00,0.00
12641,12.9,96.0,0,88.11,788,2.844,0.00,62.2,0.00,0.00,12.50,102.5,3,0.00,0.00,-0.00,0.00
12801,12.8,96.0,0,98.64,732,2.876,4.12,62.2,0.00,0.00,13.00,102.5,2,0.00,0.00,-0.00,0.00
12961,12.7,96.0,0,104.95,688,2.868,9.00,62.2,0.00,0.00,13.00,102.5,2,0.00,0.00,-0.00,0.00
13121,12.7,96.0,0,108.58,665,2.924,10.12,62.2,0.00,0.00,13.00,102.5,2,0.00,0.00,-0.00,0.00
13322,12.6,96.8,0,159.81,643,3.808,9.00,62.2,0.00,0.00,18.50,102.5,2,0.00,0.00,-0.00,0.00
13522,12.6,96.8,0,558.40,664,7.140,6.75,62.2,0.00,0.00,66.75,102.5,2,0.00,0.00,-0.00,0.00
13680,13.1,96.8,0,350.16,924,9.356,5.62,62.2,0.00,0.00,58.25,102.5,2,0.00,0.00,-0.00,0.00
13840,13.3,96.8,0,225.12,1357,8.368,11.25,62.2,0.00,0.00,55.00,102.5,0,0.00,0.00,-0.00,0.00
14001,13.3,96.8,0,202.39,1729,7.440,17.25,62.2,0.00,0.00,63.00,102.5,0,0.00,0.00,-0.00,0.00
14160,13.3,96.8,0,206.92,1906,6.736,18.75,62.2,0.00,0.00,71.00,102.5,0,0.00,0.00,-0.00,0.00
14322,13.4,96.8,0,203.23,2002,6.300,18.75,63.0,0.00,0.00,73.25,102.5,0,0.00,0.00,-0.00,0.00
14521,13.4,96.8,0,203.28,1988,6.076,18.75,63.0,0.00,0.00,72.75,102.5,0,0.00,0.00,-0.00,0.00
14720,13.4,96.8,0,207.53,1840,6.092,19.12,63.0,0.00,0.00,68.75,102.5,0,0.00,0.00,-0.00,0.00
14920,13.4,96.8,0,208.66,1697,6.128,18.00,63.0,0.00,0.00,63.75,102.5,0,0.00,0.00,-0.00,0.00
15121,13.4,96.8,0,204.65,1581,6.012,14.62,63.0,0.00,0.00,58.25,102.5,0,0.00,0.00,-0.00,0.00
15321,13.4,97.5,0,196.79,1503,6.012,12.38,63.0,0.00,0.00,53.25,102.5,0,0.00,0.00,-0.00,0.00
15481,13.4,97.5,0,122.14,1421,4.764,11.25,63.0,0.00,0.00,31.25,102.5,0,0.00,0.00,-0.00,0.00
15642,13.4,97.5,0,60.37,1334,3.512,8.62,63.0,0.00,0.00,14.50,102.5,0,0.00,0.00,-0.00,0.00
15840,13.4,97.5,0,51.68,1397,2.896,6.75,63.0,0.00,0.00,13.00,102.5,5,0.00,0.00,-0.00,0.00
16042,13.4,97.5,0,49.58,1400,2.304,4.88,63.0,0.00,0.00,12.50,102.5,5,0.00,0.00,-0.00,0.00
16242,13.4,97.5,0,56.09,1287,1.904,2.62,63.0,0.00,0.00,13.00,102.5,5,0.00,0.00,-0.00,0.00
16401,13.3,96.8,0,64.78,1136,2.008,1.88,63.0,0.00,0.00,13.25,102.5,5,0.00,0.00,-0.00,0.00
16601,13.2,96.8,0,87.22,1003,2.296,5.62,63.0,0.00,0.00,15.75,102.5,5,0.00,0.00,-0.00,0.00
16762,13.1,96.8,0,91.67,924,2.324,4.88,63.0,0.00,0.00,15.25,103.3,7,0.00,0.00,-0.00,0.00
16962,13.0,96.8,0,91.05,854,2.396,4.88,63.0,0.00,0.00,14.00,103.3,7,0.00,0.00,-0.00,0.00
17161,12.9,96.8,0,97.54,783,2.468,4.88,63.0,0.00,0.00,13.75,103.3,7,0.00,0.00,-0.00,0.00
17321,12.8,96.8,0,102.31,733,2.540,4.88,63.0,0.00,0.00,13.50,103.3,7,0.00,0.00,-0.00,0.00
17522,12.7,96.8,0,106.50,691,2.684,9.00,63.0,0.00,0.00,13.25,103.3,7,0.00,0.00,-0.00,0.00
17721,12.6,96.8,0,109.47,685,2.848,9.38,63.0,0.00,0.00,13.50,103.3,6,0.00,0.00,-0.00,0.00
17921,12.6,96.8,0,105.59,697,2.932,8.62,63.0,0.00,0.00,13.25,103.3,6,0.00,0.00,-0.00,0.00
18120,12.6,96.8,0,104.72,716,3.004,6.00,63.0,0.00,0.00,13.50,103.3,6,0.00,0.00,-0.00,0.00
18280,12.5,96.8,0,101.92,722,3.004,4.50,63.0,0.00,0.00,13.25,103.3,6,0.00,0.00,-0.00,0.00
18441,12.6,96.8,0,102.58,731,3.000,3.75,63.0,0.00,0.00,13.50,103.3,6,0.00,0.00,-0.00,0.00
18602,12.6,96.8,0,105.19,726,2.996,4.12,63.0,0.00,0.00,13.75,103.3,6,0.00,0.00,-0.00,0.00
18802,12.6,96.8,0,102.16,734,2.996,3.38,63.0,0.13,0.11,13.50,103.3,6,0.00,0.00,-0.00,0.00
19001,12.6,96.0,0,102.16,734,2.992,3.38,63.0,0.50,0.48,13.50,103.3,6,0.00,0.00,-0.00,0.00
19202,12.7,96.0,0,103.43,725,3.004,4.12,63.0,0.86,0.84,13.50,103.3,6,0.00,0.00,-0.00,0.00
19400,12.6,96.0,0,103.43,725,3.012,4.50,63.0,1.23,1.21,13.50,103.3,6,0.00,0.00,-0.00,0.00
19561,12.6,96.0,0,103.85,722,3.028,4.50,63.0,1.52,1.50,13.50,103.3,6,0.00,0.00,-0.00,0.00
19722,12.6,96.0,0,103.70,723,3.028,4.50,63.0,1.81,1.80,13.50,103.3,5,0.00,0.00,-0.00,0.00
19922,12.7,96.0,0,103.58,724,3.056,4.50,63.0,2.18,2.16,13.50,103.3,5,0.00,0.00,-0.00,0.00
20122,12.7,96.0,0,103.28,726,3.072,4.12,63.0,2.55,2.53,13.50,103.3,5,0.00,0.00,-0.00,0.00
20320,12.7,96.0,0,106.23,719,3.104,5.25,63.0,2.91,2.89,13.75,103.3,5,0.00,0.00,-0.00,0.00
20481,12.5,96.0,0,105.93,721,3.128,4.50,63.0,3.21,3.19,13.75,103.3,5,0.00,0.00,-0.00,0.00
20682,12.4,96.0,0,105.19,726,3.148,4.12,63.0,3.57,3.55,13.75,103.3,5,0.00,0.00,-0.00,0.00
20881,12.7,96.0,0,104.47,731,3.156,3.75,63.0,3.94,3.92,13.75,103.3,5,0.00,0.00,-0.00,0.00
21041,12.7,96.0,0,103.49,738,3.188,3.00,63.0,4.23,4.21,13.75,103.3,5,0.00,0.00,-0.00,0.00
21201,12.7,96.0,0,103.77,736,3.188,3.38,63.0,4.52,4.51,13.75,103.3,5,0.00,0.00,-0.00,0.00
21402,12.7,96.0,0,103.92,735,3.152,3.38,63.0,4.89,4.87,13.75,103.3,5,0.00,0.00,-0.00,0.00
21601,12.7,96.0,0,103.49,738,3.184,3.00,63.0,5.26,5.24,13.75,103.3,5,0.00,0.00,-0.00,0.00
21761,12.7,96.0,0,103.49,738,3.188,3.00,63.0,5.55,5.53,13.75,103.3,3,0.00,0.00,-0.00,0.00
21921,12.8,96.0,0,103.77,736,3.192,3.38,63.0,5.84,5.82,13.75,103.3,3,0.00,0.00,-0.00,0.00
22080,12.8,96.0,0,103.49,738,3.204,3.38,63.0,6.13,6.12,13.75,103.3,3,0.00,0.00,-0.00,0.00
22241,12.8,96.0,0,103.07,741,3.204,3.00,63.0,6.43,6.41,13.75,103.3,3,0.00,0.00,-0.00,0.00
22442,12.8,96.0,0,102.37,746,3.192,2.62,63.0,6.79,6.78,13.75,103.3,3,0.00,0.00,-0.00,0.00
22641,12.8,96.0,0,102.64,744,3.204,2.62,63.0,7.16,7.14,13.75,103.3,3,0.00,0.00,-0.00,0.00
22801,12.8,96.0,0,105.51,737,3.220,3.38,63.0,7.45,7.43,14.00,103.3,2,0.00,0.00,-0.00,0.00
22961,12.8,96.0,0,104.66,743,3.236,2.62,63.0,7.75,7.73,14.00,103.3,2,0.00,0.00,-0.00,0.00
23121,12.8,96.0,0,104.93,741,3.256,3.00,63.0,8.04,8.02,14.00,103.3,2,0.00,0.00,-0.00,0.00
23321,12.8,96.0,0,103.96,748,3.268,2.62,63.0,8.41,8.39,14.00,103.3,2,0.00,0.00,-0.00,0.00
23481,12.8,96.0,0,103.13,754,3.272,1.88,63.0,8.70,8.68,14.00,103.3,2,0.00,0.00,-0.00,0.00
23642,12.9,96.0,0,102.58,758,3.268,1.50,63.0,8.99,8.97,14.00,103.3,2,0.00,0.00,-0.00,0.00
23841,12.8,96.0,0,103.26,753,3.276,1.12,63.0,9.36,9.34,14.00,103.3,0,0.00,0.00,-0.00,0.00
24001,12.9,96.0,0,105.53,750,3.292,0.75,63.0,9.65,9.63,14.25,103.3,0,0.00,0.00,-0.00,0.00
24162,12.8,96.0,0,107.81,747,3.336,0.38,63.0,9.94,9.93,14.50,103.3,0,0.00,0.00,-0.00,0.00
24361,12.9,96.0,0,113.39,747,3.416,-0.38,63.0,10.31,10.29,15.25,103.3,0,0.00,0.00,-0.00,0.00
24521,12.8,96.0,0,116.95,748,3.496,-1.12,63.0,10.60,10.58,15.75,103.3,0,0.00,0.00,-0.00,0.00
24681,12.8,96.0,0,123.01,745,3.612,-1.50,63.0,10.90,10.88,16.50,103.3,0,0.00,0.00,-0.00,0.00
24841,12.9,96.0,0,122.86,746,3.728,-1.50,63.0,11.19,11.17,16.50,103.3,0,0.00,0.00,-0.00,0.00
25040,12.9,96.0,0,122.86,746,3.836,-1.50,63.0,11.55,11.54,16.50,103.3,0,0.00,0.00,-0.00,0.00
25201,12.9,96.0,0,122.35,749,3.880,-2.25,63.0,11.85,11.83,16.50,103.3,0,0.00,0.00,-0.00,0.00
25363,12.9,95.2,0,122.03,751,3.928,-2.62,63.0,12.14,12.12,16.50,103.3,0,0.00,0.00,-0.00,0.00
25561,13.0,95.2,0,117.84,766,3.928,-3.75,63.0,12.51,12.49,16.25,103.3,0,0.00,0.00,-0.00,0.00
25720,13.0,95.2,0,116.48,763,3.828,-3.75,63.0,10.49,12.78,16.00,103.3,0,0.00,0.00,-0.00,0.00
25881,13.0,95.2,0,116.78,761,3.788,-3.38,63.0,10.19,10.65,16.00,103.3,0,0.00,0.00,-0.00,0.00
26041,13.0,95.2,0,117.10,759,3.764,-3.00,63.0,9.90,10.36,16.00,103.3,0,0.00,0.00,-0.00,0.00
26202,13.0,95.2,0,115.10,760,3.740,-3.38,63.0,9.61,10.07,15.75,103.3,0,0.00,0.00,-0.00,0.00
26402,13.1,95.2,0,117.86,754,3.720,-2.62,63.0,9.24,9.70,16.00,103.3,0,0.00,0.00,-0.00,0.00
26601,13.1,95.2,0,116.48,751,3.704,-2.62,63.0,8.88,9.33,15.75,103.3,0,0.00,0.00,-0.00,0.00
26761,13.1,95.2,0,116.65,750,3.688,-2.25,63.0,8.58,9.04,15.75,103.3,0,0.00,0.00,-0.00,0.00
26961,13.1,95.2,0,117.27,746,3.760,-1.88,63.0,10.50,10.78,15.75,103.3,0,0.00,0.00,-0.00,0.00
27121,13.1,95.2,0,117.41,745,3.764,-1.50,63.0,10.79,11.07,15.75,103.3,0,0.00,0.00,-0.00,0.00
27281,13.1,95.2,0,117.12,747,3.776,-1.88,63.0,11.09,11.36,15.75,103.3,0,0.00,0.00,-0.00,0.00
27441,13.2,95.2,0,118.81,748,3.792,-1.88,63.0,11.38,11.66,16.00,103.3,0,0.00,0.00,-0.00,0.00
27601,13.2,95.2,0,115.57,757,3.788,-3.00,63.0,11.67,11.95,15.75,103.3,0,0.00,0.00,-0.00,0.00
27802,13.2,95.2,0,115.10,760,3.776,-3.38,63.0,12.00,12.31,15.75,103.3,0,0.00,0.00,-0.00,0.00
28002,13.2,95.2,0,114.02,755,3.700,-2.62,63.0,10.00,12.68,15.50,103.3,0,0.00,0.00,-0.00,0.00
28202,13.2,95.2,0,114.93,749,3.680,-2.62,63.0,9.63,13.05,15.50,103.3,0,0.00,0.00,-0.00,0.00
28401,13.2,94.5,0,116.95,748,3.676,-1.88,63.0,9.27,13.41,15.75,103.3,0,0.00,0.00,-0.00,0.00
28561,13.2,94.5,0,116.48,751,3.728,-2.62,63.0,11.08,13.71,15.75,103.3,0,0.00,0.00,-0.00,0.00
28721,13.3,94.5,0,114.64,751,3.736,-2.62,63.0,11.37,11.72,15.50,103.3,0,0.00,0.00,-0.00,0.00
28882,13.3,94.5,0,114.17,754,3.732,-2.62,63.0,11.66,11.43,15.50,103.3,0,0.00,0.00,-0.00,0.00
29042,13.3,94.5,0,116.33,752,3.740,-2.62,63.0,11.96,11.14,15.75,103.3,0,0.00,0.00,-0.00,0.00
29241,13.4,94.5,0,115.10,748,3.756,-1.88,63.0,12.32,10.77,15.50,103.3,0,0.00,0.00,-0.00,0.00
29441,13.3,94.5,0,115.25,747,3.772,-1.88,63.0,12.69,10.40,15.50,103.3,0,0.00,0.00,-0.00,0.00
29641,13.4,94.5,0,115.25,747,3.788,-1.88,63.0,13.05,12.51,15.50,103.3,0,0.00,0.00,-0.00,0.00
29842,13.3,94.5,0,114.49,752,3.796,-2.62,63.0,13.42,12.87,15.50,103.3,0,0.00,0.00,-0.00,0.00
30040,13.4,94.5,0,115.87,755,3.784,-3.00,63.0,13.64,13.24,15.75,103.3,0,0.00,0.00,-0.00,0.00
30201,13.4,94.5,0,145.60,763,4.544,-0.75,63.0,11.60,13.53,20.00,103.3,0,0.00,0.00,-0.00,0.00
30361,13.5,94.5,0,297.70,807,6.276,0.38,63.0,11.27,13.87,43.25,103.3,0,0.00,0.00,-0.00,0.00
30522,13.5,94.5,0,314.78,997,8.672,0.75,63.0,10.68,14.46,56.50,103.3,0,0.00,0.00,-0.00,0.00
30720,13.4,94.5,0,196.60,1448,7.784,8.62,63.0,9.38,11.78,51.25,103.3,0,0.00,0.00,-0.00,0.00
30882,13.4,93.8,0,180.52,1677,6.856,16.88,63.0,8.09,10.49,54.50,103.3,0,0.00,0.00,-0.00,0.00
31042,13.4,93.8,0,171.28,1808,6.224,21.38,63.0,6.75,9.14,55.75,103.3,0,0.00,0.00,-0.00,0.00
31241,13.4,93.8,0,170.96,1860,5.676,21.38,63.0,5.04,7.43,57.25,103.3,0,0.00,0.00,-0.00,0.00
31402,13.4,93.8,0,156.91,1823,5.272,21.75,63.0,3.74,6.14,51.50,103.3,0,0.00,0.00,-0.00,0.00
31561,13.5,93.8,0,133.31,1698,4.744,21.00,63.0,2.63,5.03,40.75,103.3,0,0.00,0.00,-0.00,0.00
31720,13.4,93.8,0,139.41,1534,4.344,16.12,63.0,1.71,4.11,38.50,103.3,1,0.00,0.00,-0.00,0.00
31881,13.4,93.8,0,147.95,1361,4.084,16.88,63.0,0.95,3.35,36.25,103.3,1,0.00,0.00,-0.00,0.00
32042,13.3,93.8,0,173.12,1163,4.428,14.62,63.0,2.82,4.68,36.25,103.3,1,0.00,0.00,-0.00,0.00
32242,12.9,93.8,0,201.50,951,5.012,10.12,63.0,3.58,5.44,34.50,103.3,1,0.00,0.00,-0.00,0.00
32441,12.8,93.8,0,246.55,828,6.216,7.12,63.0,4.27,6.13,36.75,103.3,1,0.00,0.00,-0.00,0.00
32602,13.0,93.8,0,181.60,1040,6.628,10.88,63.0,4.95,6.81,34.00,103.3,1,0.00,0.00,-0.00,0.00
32762,13.1,93.8,0,162.17,1096,5.936,9.38,63.0,5.74,7.60,32.00,103.3,6,0.00,0.00,-0.00,0.00
32961,13.4,93.8,0,165.49,1116,5.548,9.75,63.0,6.05,4.92,33.25,103.3,6,0.00,0.00,-0.00,0.00
33123,13.4,93.8,0,162.36,1129,5.220,10.50,63.0,3.46,4.19,33.00,103.3,6,0.00,0.00,-0.00,0.00
33322,13.4,93.0,0,152.40,1230,4.924,12.75,63.0,2.51,3.24,33.75,103.3,6,0.00,0.00,-0.00,0.00
33522,13.5,93.0,0,114.62,1260,4.480,13.88,63.0,4.32,5.59,26.00,103.3,6,0.00,0.00,-0.00,0.00
33722,13.4,93.0,0,85.40,1317,3.764,18.00,63.0,5.11,6.39,20.25,103.3,10,0.00,0.00,-0.00,0.00
33921,13.5,93.0,0,75.99,1334,3.248,18.00,63.0,5.15,4.00,18.25,103.3,10,0.00,0.00,-0.00,0.00
34122,13.4,93.0,0,75.42,1344,2.888,18.38,63.0,2.46,3.26,18.25,103.3,10,0.00,0.00,-0.00,0.00
34322,13.5,93.0,0,74.06,1350,2.624,18.00,63.0,1.78,2.58,18.00,103.3,10,0.00,0.00,-0.00,0.00
34522,13.4,93.0,0,73.64,1339,2.448,18.00,63.0,1.14,1.94,17.75,103.3,10,0.00,0.00,-0.00,0.00
34721,13.5,93.0,0,74.53,1323,2.332,17.25,63.0,0.50,1.30,17.75,103.3,12,0.00,0.00,-0.00,0.00
34923,13.5,93.0,0,75.67,1303,2.232,16.88,63.0,-0.15,0.66,17.75,103.3,12,0.00,0.00,-0.00,0.00
35121,13.5,93.0,0,76.18,1276,2.188,16.50,63.0,-0.74,0.23,17.50,103.3,12,0.00,0.00,-0.00,0.00
35281,13.5,93.0,0,79.00,1248,2.252,16.12,63.0,1.35,2.24,17.75,103.3,12,0.00,0.00,-0.00,0.00
35442,13.5,93.0,0,79.25,1244,2.280,16.12,63.0,1.79,2.68,17.75,103.3,12,0.00,0.00,-0.00,0.00
35643,13.4,93.0,0,91.82,1240,2.412,15.75,63.0,2.34,3.23,20.50,103.3,12,0.00,0.00,-0.00,0.00
35841,13.4,93.0,0,104.28,1225,2.716,15.75,63.0,2.89,3.78,23.00,103.3,10,0.00,0.00,-0.00,0.00
36001,13.4,93.0,0,110.57,1193,2.956,15.38,63.0,3.35,4.23,23.75,103.3,10,0.00,0.00,-0.00,0.00
36161,13.4,93.0,0,111.27,1198,3.112,15.38,63.0,3.86,4.75,24.00,103.3,10,0.00,0.00,-0.00,0.00
36322,13.4,93.0,0,112.12,1189,3.228,15.38,63.0,4.37,5.26,24.00,103.3,10,0.00,0.00,-0.00,0.00
36521,13.5,93.0,0,109.87,1188,3.308,15.38,63.0,5.01,5.90,23.50,103.3,10,0.00,0.00,-0.00,0.00
